,out-degree-weight,in-degree-weight,out-degree,in-degree,bot,bc,lcc,ac
147.32.84.165,89,0.0,1,0.0,0,0.0,0,0.011470672578474846
147.32.80.9,0,6.0,0,1.0,0,0.0,0,0.06830703791917227
94.63.149.152,0,198.0,0,1.0,0,0.0,0,0.009274062589548193
94.63.150.52,0,241.0,0,12.0,0,0.0,0,0.011191296682579793
60.190.223.75,0,36.0,0,6.0,0,0.0,0,0.0020509946111500815
195.88.191.59,0,513.0,0,3.0,0,0.0,0,0.02331891699198897
94.63.150.63,0,174.0,0,6.0,0,0.0,0,0.008203978444600326
109.200.239.148,0,9.0,0,1.0,0,0.0,0,0.0008471499480837292
124.125.21.140,0,5.0,0,1.0,0,0.0,0,0.0006688025905924178
46.175.169.64,0,5.0,0,1.0,0,0.0,0,0.0006688025905924178
79.132.91.208,0,5.0,0,1.0,0,0.0,0,0.0006688025905924178
133.6.157.199,0,5.0,0,1.0,0,0.0,0,0.0006688025905924178
91.220.0.52,0,250.0,0,12.0,0,0.0,0,0.011592578236935243
208.84.201.167,0,5.0,0,1.0,0,0.0,0,0.0006688025905924178
212.117.171.138,0,21489.0,0,180.0,0,0.0,0,0.9585724596764261
190.77.235.75,0,4.0,0,1.0,0,0.0,0,0.0006242157512195898
184.106.213.57,0,20.0,0,1.0,0,0.0,0,0.0013376051811848355
65.54.186.47,0,115.0,0,2.0,0,0.0,0,0.005573354921603482
65.54.234.24,0,66.0,0,2.0,0,0.0,0,0.0033885997923349172
65.54.234.78,0,128.0,0,4.0,0,0.0,0,0.0061529838334502445
65.54.186.10,0,644.0,0,12.0,0,0.0,0,0.02915979294982942
65.55.16.187,0,325.0,0,5.0,0,0.0,0,0.014936591189897331
94.245.116.9,0,252.0,0,7.0,0,0.0,0,0.0116817519156809
65.55.40.23,0,2047.0,0,15.0,0,0.0,0,0.09171512858990691
64.4.56.103,0,956.0,0,9.0,0,0.0,0,0.04307088683415171
83.211.221.197,0,12.0,0,1.0,0,0.0,0,0.0009809104662022127
65.55.255.9,0,42.0,0,1.0,0,0.0,0,0.002318515647387048
64.4.2.109,0,2086.0,0,20.0,0,0.0,0,0.0934540153254472
205.188.186.137,0,1163.0,0,9.0,0,0.0,0,0.05230036258432708
65.54.234.75,0,347.0,0,5.0,0,0.0,0,0.01591750165609954
209.85.148.105,0,35.0,0,1.0,0,0.0,0,0.05586730973415331
64.12.175.136,0,338.0,0,4.0,0,0.0,0,0.015516220101744093
94.100.176.20,0,16.0,0,3.0,0,0.0,0,0.001159257823693524
74.125.93.27,0,12.0,0,2.0,0,0.0,0,0.0009809104662022127
74.125.39.27,0,12.0,0,2.0,0,0.0,0,0.0009809104662022127
66.111.4.72,0,12.0,0,2.0,0,0.0,0,0.0009809104662022127
216.157.130.15,0,12.0,0,2.0,0,0.0,0,0.0009809104662022127
46.4.36.120,0,3284.0,0,274.0,0,0.0,0,0.14686904889409497
198.32.64.12,0,4.0,0,2.0,0,0.0,0,0.0006242157512195899
77.120.37.254,0,4.0,0,1.0,0,0.0,0,0.0006242157512195899
202.12.27.33,0,4.0,0,1.0,0,0.0,0,0.0006242157512195898
64.4.56.87,0,620.0,0,6.0,0,0.0,0,0.028089708804881548
112.110.18.151,0,4.0,0,1.0,0,0.0,0,0.0006242157512195899
65.54.186.19,0,48.0,0,1.0,0,0.0,0,0.002586036683624016
65.55.72.7,0,2081.0,0,16.0,0,0.0,0,0.09323108112858305
209.85.148.147,0,2710.0,0,10.0,0,0.0,0,0.12127620309409176
218.248.255.243,0,4.0,0,1.0,0,0.0,0,0.0006242157512195899
64.4.56.23,0,753.0,0,8.0,0,0.0,0,0.034019758441467644
65.55.75.231,0,775.0,0,8.0,0,0.0,0,0.03500066890766987
221.130.69.202,0,12.0,0,1.0,0,0.0,0,0.0009809104662022127
205.188.186.167,0,108.0,0,1.0,0,0.0,0,0.005261247045993687
92.87.4.97,0,4.0,0,1.0,0,0.0,0,0.0006242157512195899
64.12.168.40,0,89.0,0,1.0,0,0.0,0,0.0044140970979099576
147.32.86.187,12,0.0,3,0.0,0,0.0,0,0.006527415143603133
147.32.84.138,544,0.0,136,0.0,1,0.0,0,0.006527415143603133
147.32.86.20,156,0.0,2,0.0,0,0.0,0,0.01426533523537803
147.32.84.59,20,0.0,1,0.0,0,0.0,0,0.03299340131973605
147.32.86.77,20,0.0,5,0.0,0,0.0,0,0.006527415143603133
147.32.86.92,4,0.0,1,0.0,0,0.0,0,0.006527415143603133
147.32.85.25,108,0.0,27,0.0,1,0.0,0,0.006527415143603112
87.240.134.204,0,24.0,0,1.0,0,0.0,0,0.001515952538676147
66.194.55.249,268,0.0,4,0.0,0,0.0,0,0.03597122302158273
147.32.84.2,0,268.0,0,4.0,0,0.0,0,0.012395141345646142
147.32.85.7,48,0.0,12,0.0,1,0.0,0,0.006527415143603133
147.32.85.114,25,0.0,1,0.0,0,0.0,0,0.2857142857142857
90.183.38.22,0,25.0,0,1.0,0,0.0,0,0.0015605393780489746
147.32.85.89,12,0.0,3,0.0,0,0.0,0,0.006527415143603133
147.32.87.238,4,0.0,1,0.0,0,0.0,0,0.006527415143603133
147.32.84.21,12,0.0,3,0.0,0,0.0,0,0.006527415143603017
209.85.149.132,0,29.0,0,1.0,0,0.0,0,0.001738886735540286
